eeg1,eeg2,eeg3,eeg4,eeg5,eeg6,eeg7,eeg8,accx,accy,accz,iso_utc,session_id,command_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,1.004,0.254,2019-03-17T21:23:47.434136,9,EyesClosed
-16859.89849089366,-8919.24010744573,3703.7064079888355,-2555.4972953197116,27695.890092359794,8926.035037760144,10624.588802407838,10472.529884878384,0.0,0.0,0.0,2019-03-17T21:23:47.449903,9,EyesClosed
-17020.920457949695,-9086.922894349444,3569.7524034681805,-2643.227892306792,27531.671825846654,9097.159993309975,10461.577530095283,10365.196808003999,0.0,0.0,0.0,2019-03-17T21:23:47.457256,9,EyesClosed
-16992.958425636105,-9051.495379387783,3491.7448153191585,-2819.359638614612,27520.87593327474,8688.056014544489,10452.145093935143,10234.439102940452,0.0,0.0,0.0,2019-03-17T21:23:47.457650,9,EyesClosed
-16821.90052531964,-8866.266473086653,3622.8825000384454,-2743.3413557221124,27686.502359688566,8466.48317175903,10610.596610378816,10328.651705819573,0.0,0.0,0.0,2019-03-17T21:23:47.463948,9,EyesClosed
-16843.447606974558,-8890.987502454222,3707.729721990791,-2562.0016529562063,27708.96586286615,8832.202414536765,10623.806491351903,10459.40941088312,0.0,0.0,0.0,2019-03-17T21:23:47.464474,9,EyesClosed
-17004.871905430784,-9062.134809748508,3595.8815927364344,-2601.94422029784,27555.945820325116,9110.436929516427,10471.077021488789,10392.667101939573,0.0,0.0,0.0,2019-03-17T21:23:47.471956,9,EyesClosed
-17012.046815400936,-9063.31945220464,3490.0237309961,-2796.538507525743,27508.53777033541,8777.59710283245,10426.664105256094,10248.587757180663,0.0,0.0,0.0,2019-03-17T21:23:47.472350,9,EyesClosed
-16843.067627318815,-8883.007929683678,3596.9768282147443,-2774.4326322594443,27665.916403045227,8462.750430434995,10576.353737873285,10307.37284509812,0.034,1.0,0.252,2019-03-17T21:23:47.479004,9,EyesClosed
-16820.514717163413,-8866.042955642099,3712.267126115218,-2583.235810188748,27732.72576722214,8756.228835133175,10633.529500189961,10460.415239383608,0.0,0.0,0.0,2019-03-17T21:23:47.486971,9,EyesClosed
