eeg1,eeg2,eeg3,eeg4,eeg5,eeg6,eeg7,eeg8,accx,accy,accz,iso_utc,session_id,command_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.264,2019-03-17T21:18:24.286262,7,EyesClosed
-3861.107392443108,-1414.7760170431159,-2974.4807451344427,-6805.2568203516985,35461.55666846713,-1211.2857355220003,6081.864962800141,4899.3682741365765,0.0,0.0,0.0,2019-03-17T21:18:24.288380,7,EyesClosed
-3945.105248106152,-1504.1382913754335,-2968.9375125095266,-6760.4639244632635,35504.47201782132,-636.3988681315027,6063.91651200253,4943.401210713531,0.0,0.0,0.0,2019-03-17T21:18:24.293996,7,EyesClosed
-4297.055816299417,-1860.9391881155002,-3315.9259934337133,-7081.412623097018,35232.428936055774,-280.26852372509524,5745.024173858664,4638.948099487794,0.0,0.0,0.0,2019-03-17T21:18:24.294682,7,EyesClosed
-4259.504885614501,-1819.141425984076,-3366.2621219470648,-7164.829333404224,35154.53310662903,-806.0486085472833,5728.640345172924,4556.4254589588,0.0,0.0,0.0,2019-03-17T21:18:24.300545,7,EyesClosed
-3901.809919096222,-1455.0762122960346,-3022.536995713353,-6852.0390214966565,35420.8094383251,-1232.229320076623,6053.7911717642755,4850.194436334901,0.0,0.0,0.0,2019-03-17T21:18:24.301029,7,EyesClosed
-3890.522288146292,-1458.093697797501,-2925.2622038438567,-6725.99753451318,35537.999634504275,-751.8456282431637,6121.4946057194,4975.990054129369,0.0,0.0,0.0,2019-03-17T21:18:24.308566,7,EyesClosed
-4257.582635591345,-1837.0451732927768,-3265.0087195645237,-7037.513796986795,35278.40647440034,-284.5824104049695,5794.510936082714,4682.444594197821,0.0,0.0,0.0,2019-03-17T21:18:24.309443,7,EyesClosed
-4311.316229261903,-1883.1568221040754,-3399.00742757409,-7199.51924079886,35131.8907894958,-688.7466536458319,5687.60254235298,4524.618926598898,-0.002,1.0,0.268,2019-03-17T21:18:24.316627,7,EyesClosed
-3951.4307917870037,-1511.2237943677658,-3075.309464372333,-6915.093292605078,35370.83093772303,-1215.6443256907853,6000.23639204936,4795.991456030781,0.0,0.0,0.0,2019-03-17T21:18:24.317340,7,EyesClosed
-3845.4164678354823,-1405.835319260993,-2889.8123371377396,-6715.648676830373,35550.96364628836,-871.2709988678693,6148.339050810225,4993.1785456155,0.0,0.0,0.0,2019-03-17T21:18:24.323750,7,EyesClosed
-4185.92294286763,-1751.1250676065765,-3176.227590588044,-6958.209807659365,35348.680358967824,-284.40359644932704,5869.3669282635365,4767.872961506005,0.0,0.0,0.0,2019-03-17T21:18:24.324305,7,EyesClosed
-4354.991537927573,-1919.3889998661282,-3410.6973899242153,-7205.397749590606,35128.202751660676,-561.0734893171178,5673.878571257422,4530.676249346287,0.0,0.0,0.0,2019-03-17T21:18:24.331383,7,EyesClosed
-4043.7211446429665,-1592.5841441850835,-3158.167381068156,-6987.959979529379,35302.59106190098,-1180.5744386404085,5934.03052497274,4738.1227896359915,0.0,0.0,0.0,2019-03-17T21:18:24.331885,7,EyesClosed
-3832.586566518136,-1378.4320805587865,-2895.936715118494,-6713.257040173655,35537.15026821497,-976.2571425744466,6157.592673014721,5001.806318975248,0.0,0.0,0.0,2019-03-17T21:18:24.338298,7,EyesClosed
-4134.536282364879,-1687.6014098645937,-3123.52217716243,-6892.048644071656,35390.12049318796,-329.7329342046898,5926.050952202196,4831.95541285937,0.0,0.0,0.0,2019-03-17T21:18:24.346141,7,EyesClosed
-4369.229599145603,-1918.941964977022,-3405.19886078821,-7175.625225976137,35142.82079253445,-437.2895285236274,5679.466507371248,4554.346746724456,0.0,0.0,0.0,2019-03-17T21:18:24.346792,7,EyesClosed
-4091.4644707995026,-1631.923214426424,-3207.0282944474575,-7018.470110710873,35265.10718644943,-1088.619361951275,5889.6399604845,4702.516460718687,0.0,0.0,0.0,2019-03-17T21:18:24.353294,7,EyesClosed
-3836.721639242368,-1371.7936124555604,-2905.570316978731,-6720.275487932621,35522.82280001912,-1069.463916953077,6159.045536404316,4991.457461292442,-0.004,1.01,0.268,2019-03-17T21:18:24.353916,7,EyesClosed
-4065.000005364419,-1625.4635602788403,-3057.852751952738,-6832.347134631531,35434.15342976492,-416.92708932484265,5994.134365813061,4889.689968787428,0.0,0.0,0.0,2019-03-17T21:18:24.361038,7,EyesClosed
-4367.106183422349,-1938.8350175422452,-3399.342703740919,-7165.2540165488745,35148.408728648275,-369.9437224797872,5685.412071396359,4567.511924208632,0.0,0.0,0.0,2019-03-17T21:18:24.361675,7,EyesClosed
-4171.01432931594,-1732.5060644753057,-3281.7278244170934,-7087.5370010777715,35206.88089214336,-1003.5262708099212,5826.675096353901,4640.088038455015,0.0,0.0,0.0,2019-03-17T21:18:24.368825,7,EyesClosed
-3834.687630496935,-1383.3047608500435,-2925.15044512158,-6747.991651057202,35502.48271256479,-1137.2791096304786,6153.167027612571,4965.194161557456,0.0,0.0,0.0,2019-03-17T21:18:24.369334,7,EyesClosed
-3996.961295242464,-1536.1683411798886,-2997.860669834694,-6784.760270686183,35477.940497152864,-517.5769946070903,6054.841703753675,4932.538262908252,0.0,0.0,0.0,2019-03-17T21:18:24.376953,7,EyesClosed
-4333.198587083649,-1888.8341651957232,-3343.7315635361156,-7112.079216489699,35200.39888625132,-288.53866917355884,5737.893967377421,4617.177500388325,0.0,0.0,0.0,2019-03-17T21:18:24.377539,7,EyesClosed
-4217.975344416541,-1761.6303875005708,-3318.272926601521,-7119.2317747153975,35182.182214520246,-877.7753565043637,5794.108604682518,4606.113386882947,0.0,0.0,0.0,2019-03-17T21:18:24.383525,7,EyesClosed
-3861.6438343100353,-1397.1404906678786,-2965.2941781633112,-6788.4036050323975,35462.18251731188,-1178.652188617252,6124.623849943144,4921.541204636241,0.0,0.0,0.0,2019-03-17T21:18:24.384487,7,EyesClosed
-3930.554262465747,-1481.67478819785,-2951.570207067753,-6740.973203298236,35507.15422715595,-632.6214233185558,6107.122434034638,4968.703385436939,0.0,0.0,0.0,2019-03-17T21:18:24.392925,7,EyesClosed
-4294.105386031316,-1851.8867316111007,-3297.3069903024425,-7060.044355397744,35234.12766863438,-253.2005611897184,5779.982302186764,4661.590416621019,-0.006,1.008,0.27,2019-03-17T21:18:24.393692,7,EyesClosed
-4292.049025541428,-1851.0820688107096,-3372.900590050291,-7168.919702639545,35133.52246684104,-767.6036080841551,5737.379877254949,4552.983290312683,0.0,0.0,0.0,2019-03-17T21:18:24.399245,7,EyesClosed
-3922.999372839853,-1481.7418434312158,-3024.526300969875,-6854.318899431098,35394.38967637893,-1209.743465154584,6066.48696261489,4851.200264835389,0.0,0.0,0.0,2019-03-17T21:18:24.399993,7,EyesClosed
-3878.9887880073534,-1439.027659777124,-2898.440110497488,-6703.891659246881,35531.9870152458,-744.3354421061805,6157.302100336802,4998.65472300705,0.0,0.0,0.0,2019-03-17T21:18:24.406733,7,EyesClosed
-4240.058867938384,-1804.210460687931,-3229.111817969301,-7000.275790724253,35281.35690466844,-242.20350291770734,5834.878186568998,4716.59805972553,0.0,0.0,0.0,2019-03-17T21:18:24.413088,7,EyesClosed
-4319.116988076805,-1877.0324441233213,-3390.580819914439,-7180.587313245215,35123.48653358061,-625.871196493053,5715.408112455382,4544.5343309085765,0.0,0.0,0.0,2019-03-17T21:18:24.413832,7,EyesClosed
-3980.7339287679115,-1525.2159863967881,-3096.9906564939806,-6919.98832464079,35337.638597206904,-1188.9786945556039,6006.897211897041,4791.834031562094,0.0,0.0,0.0,2019-03-17T21:18:24.422436,7,EyesClosed
-3848.5457120592255,-1398.123967423912,-2893.4780232284097,-6702.662313301839,35528.96952974433,-870.5780947897548,6171.182533643549,5002.074539908712,0.0,0.0,0.0,2019-03-17T21:18:24.422925,7,EyesClosed
-4191.890858637197,-1744.8665791590906,-3175.400576043198,-6945.066981919645,35327.580312202015,-268.62326486388025,5897.686588488411,4775.6290168319965,0.0,0.0,0.0,2019-03-17T21:18:24.430878,7,EyesClosed
-4358.277244362503,-1910.5377090618265,-3411.8596806358914,-7195.495926796905,35112.02008867503,-510.40208463693676,5702.377045437938,4533.760790081119,0.0,0.0,0.0,2019-03-17T21:18:24.431516,7,EyesClosed
-4038.580243418246,-1590.728949395293,-3160.9613491250693,-6989.591656874616,35283.63678260288,-1144.431667856177,5956.851656061609,4729.874995931983,-0.008,1.008,0.268,2019-03-17T21:18:24.436765,7,EyesClosed
-3833.525339785259,-1382.6342085163842,-2891.1310900606027,-6716.52039486413,35521.39228837399,-978.5817239977985,6186.784051273353,4991.658626992539,0.0,0.0,0.0,2019-03-17T21:18:24.437336,7,EyesClosed
-4120.879366502687,-1683.466337140362,-3107.9877147659918,-6889.277027759198,35377.75997850418,-332.0575156280417,5961.746688097321,4827.149787801479,0.0,0.0,0.0,2019-03-17T21:18:24.443788,7,EyesClosed
-4356.533808294989,-1918.941964977022,-3393.799471116003,-7174.105307353176,35131.421402862245,-398.7104175937674,5711.831833342532,4551.306909478535,0.0,0.0,0.0,2019-03-17T21:18:24.444607,7,EyesClosed
-4094.2137353675053,-1638.2934615961865,-3205.8213002468706,-7024.974468347367,35251.98671245417,-1045.0334602634264,5919.054856187685,4692.480527458254,0.0,0.0,0.0,2019-03-17T21:18:24.451718,7,EyesClosed
