eeg1,eeg2,eeg3,eeg4,eeg5,eeg6,eeg7,eeg8,accx,accy,accz,iso_utc,session_id,command_name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-17T21:24:16.943938,10,EyesOpen
-17311.359025401955,-9423.987200735475,4315.9653921086065,-2576.0832519630494,27329.477945503946,7740.073828706006,11789.494668185076,10961.429591349315,0.052000000000000005,1.008,0.23,2019-03-17T21:24:16.965753,10,EyesOpen
-17243.74499842465,-9342.760961384889,4457.116658343871,-2384.014711858596,27437.347464245257,7920.787682627164,11890.703367078706,11123.636200861478,0.0,0.0,0.0,2019-03-17T21:24:16.966256,10,EyesOpen
-17399.268436344675,-9518.512728036969,4402.1313669838155,-2318.524100604546,27311.88712261762,8363.195760631057,11778.117630257324,11151.486474452791,0.0,0.0,0.0,2019-03-17T21:24:16.972605,10,EyesOpen
-17491.13410605599,-9611.048950081939,4256.241530924026,-2495.9298963463184,27188.684307179967,8243.703334772985,11664.660175402187,10996.432423166327,0.0,0.0,0.0,2019-03-17T21:24:16.973007,10,EyesOpen
-17349.133473531423,-9457.06778252933,4292.205487752615,-2578.139612452938,27300.375974223134,7786.677215895322,11769.288691197478,10953.226501134217,0.0,0.0,0.0,2019-03-17T21:24:16.980586,10,EyesOpen
-17231.228021529678,-9342.425685218059,4435.837797622418,-2410.702694738233,27432.206563020536,7844.434123567835,11892.78207931305,11100.502145350236,0.0,0.0,0.0,2019-03-17T21:24:16.980962,10,EyesOpen
-17352.75445613318,-9475.26210251595,4424.527814928033,-2296.015893938052,27347.35934106819,8312.412597228598,11816.428520253721,11172.20654156286,0.0,0.0,0.0,2019-03-17T21:24:16.987724,10,EyesOpen
-17480.069992550612,-9608.389092491758,4277.922723045674,-2443.1350759428833,27208.309138811725,8319.878079876671,11687.704823935608,11036.486749230236,0.044,1.014,0.23,2019-03-17T21:24:16.988242,10,EyesOpen
-17370.47938948624,-9489.969550367541,4266.165705462183,-2582.8558305330075,27274.69381984399,7847.585719536033,11746.46756010861,10942.587070773492,0.0,0.0,0.0,2019-03-17T21:24:16.995236,10,EyesOpen
-17225.72949239367,-9328.791121100321,4424.1478352722925,-2438.5529683295454,27435.04523456636,7794.433271221313,11898.191201471234,11076.943406694343,0.0,0.0,0.0,2019-03-17T21:24:16.995629,10,EyesOpen
-17321.2384964512,-9434.313706673825,4445.538454716022,-2296.2394113826053,27381.781027529363,8248.218387152958,11851.63251777083,11172.474762496324,0.0,0.0,0.0,2019-03-17T21:24:17.003364,10,EyesOpen
-17475.93491982638,-9601.124775543783,4298.642790155744,-2414.7930639735537,27219.708528483934,8371.220036890512,11699.908876408206,11053.004688382709,0.0,0.0,0.0,2019-03-17T21:24:17.003758,10,EyesOpen
-17393.121706619466,-9509.63908548821,4260.331900159347,-2568.640121059432,27260.54516560378,7937.640897946465,11738.08565593787,10941.40242831736,0.0,0.0,0.0,2019-03-17T21:24:17.011297,10,EyesOpen
-17226.73532089416,-9327.427664688548,4404.813576318452,-2467.587884376989,27429.747871130454,7758.692831837277,11895.330178180955,11042.678182444357,0.0,0.0,0.0,2019-03-17T21:24:17.011674,10,EyesOpen
-17274.746867984162,-9380.446002536537,4471.377071306357,-2285.4882222996025,27422.505905926933,8184.292398010779,11896.134840981345,11178.017995121241,0.0,0.0,0.0,2019-03-17T21:24:17.017493,10,EyesOpen
-17446.92235552339,-9564.020879747974,4343.703906977643,-2355.270368489071,27254.800767278764,8422.182014248612,11744.634717063274,11096.836459259566,0.0,0.0,0.0,2019-03-17T21:24:17.017877,10,EyesOpen
